sa2_main11, lf_4, year_
"212031301",5.1,2011
"211051284",4.6,2011
"211051285",2.6,2011
"211051286",4.9,2011
"212011287",3.7,2011
"212011291",5.8,2011
"212031302",6.2,2011
"214021382",3.3,2011
"212011292",5.4,2011
"212021293",4.4,2011
"212021294",4.7,2011
"212031303",2.8,2011
"212021295",10.6,2011
"212031304",7.5,2011
"214021383",4.8,2011
"212021296",6.6,2011
"212021297",8.3,2011
"215011390",3.0,2011
"215011391",4.7,2011
"212021298",5.9,2011
"212021299",3.2,2011
"215011392",4.7,2011
"215011393",3.1,2011
"212031305",7.9,2011
"212031306",5.0,2011
"212041310",8.2,2011
"212031307",5.0,2011
"212031308",4.0,2011
"212041309",5.7,2011
"212041311",11.2,2011
"212041312",7.5,2011
"212041313",3.4,2011
"212041314",6.0,2011
"212041316",7.6,2011
"212041315",9.5,2011
"214011372",8.7,2011
"212041317",10.5,2011
"212041318",9.1,2011
"212051319",5.9,2011
"212051320",13.0,2011
"212051321",5.7,2011
"212051322",6.6,2011
"212051323",5.5,2011
"215011394",3.7,2011
"215021395",3.8,2011
"212051324",5.2,2011
"212051326",5.7,2011
"212051325",4.9,2011
"215021396",7.1,2011
"215021397",7.5,2011
"212051327",4.3,2011
"213011329",7.4,2011
"213011332",6.4,2011
"213011330",8.2,2011
"213011331",7.8,2011
"215021398",4.1,2011
"215021399",6.5,2011
"215031400",3.7,2011
"213011333",10.7,2011
"213011334",11.0,2011
"213011339",6.0,2011
"213011335",11.3,2011
"213011340",4.7,2011
"213021341",5.2,2011
"213021342",6.6,2011
"215031401",3.6,2011
"215031402",4.5,2011
"213011336",9.2,2011
"215031403",7.8,2011
"213011337",11.6,2011
"213021343",6.9,2011
"213011338",9.8,2011
"213021344",4.3,2011
"213021345",4.7,2011
"213021346",4.4,2011
"215031404",4.5,2011
"215031405",4.4,2011
"216011406",4.4,2011
"213031347",10.8,2011
"213031350",4.8,2011
"213031348",8.8,2011
"213031351",7.4,2011
"216011407",5.1,2011
"216011408",3.7,2011
"213031349",5.5,2011
"213041360",5.1,2011
"213031352",4.3,2011
"213041353",4.7,2011
"213051362",7.0,2011
"217011422",5.0,2011
"217011423",3.2,2011
"213041354",5.8,2011
"213041355",4.4,2011
"213041356",7.7,2011
"213041357",7.5,2011
"213041358",6.1,2011
"213041359",5.2,2011
"213051368",5.6,2011
"213051361",5.8,2011
"213051369",6.4,2011
"217021432",4.9,2011
"217021433",4.8,2011
"213051363",9.4,2011
"213051364",5.1,2011
"213051365",6.2,2011
"213051366",7.2,2011
"213051367",7.7,2011
"214011370",5.7,2011
"214011371",7.0,2011
"214011373",4.2,2011
"214011374",3.8,2011
"214011375",6.5,2011
"214021377",5.3,2011
"214021378",2.5,2011
"214021379",5.3,2011
"214021380",5.0,2011
"214021384",6.1,2011
"214021385",4.1,2011
"215011386",4.0,2011
"215011387",3.1,2011
"215011388",3.8,2011
"215011389",2.9,2011
"216011409",3.6,2011
"216011410",4.4,2011
"216021411",6.1,2011
"216021412",3.8,2011
"216021413",4.7,2011
"216021414",4.4,2011
"216031415",6.9,2011
"216031416",5.1,2011
"216031417",6.3,2011
"216031418",3.3,2011
"216031419",4.9,2011
"217011420",4.7,2011
"217011421",4.3,2011
"217021424",3.4,2011
"217021425",3.8,2011
"217021426",2.7,2011
"217021427",3.2,2011
"217021428",2.7,2011
"217021429",3.4,2011
"217021430",3.9,2011
"217021431",4.7,2011
